races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
17,0,2,0,0,1,0,0,32,36,0,105,0,125,0
5,0,0,0,0,0,0,0,13,1,0,0,0,89,0
3,0,1,0,0,1,0,0,5,0,1,15,0,26,0
16,0,0,0,0,3,0,0,38,11,2,86,0,140,0
16,0,0,0,0,2,0,0,39,1,3,43,0,198,0
17,0,0,0,0,5,0,0,54,2,4,31,0,224,0
1,0,1,0,0,0,0,0,4,0,0,15,0,7,0
15,0,1,0,0,2,0,0,59,2,2,36,0,226,0
1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
5,0,1,0,0,1,0,0,12,0,1,19,0,52,0
1,0,0,0,0,0,0,0,5,0,0,10,0,10,0
16,0,0,0,0,1,0,0,43,1,4,14,0,253,0
8,0,0,0,0,0,0,0,38,0,0,0,0,208,0
1,0,0,0,0,0,0,0,10,0,0,0,0,25,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,6,0,0,8,0,12,0
1,0,0,0,0,0,0,0,7,0,0,0,0,18,0
3,0,0,0,0,1,0,0,6,0,0,12,0,40,0
3,0,0,0,0,1,0,0,23,0,0,16,0,46,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
4,0,0,0,0,0,0,0,5,0,0,8,0,54,0
2,0,0,0,0,0,0,0,2,0,0,8,0,12,0
2,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2,0,0,0,0,1,0,0,16,0,0,2,0,45,0
1,0,0,0,0,0,0,0,5,0,0,0,0,16,0
2,0,0,0,0,1,0,0,0,0,2,0,0,43,0
16,0,0,0,0,3,0,0,38,0,3,6,0,353,0
4,0,0,0,0,1,0,0,12,0,1,1,0,85,0
1,0,0,0,0,0,0,0,0,0,1,0,0,7,0
4,0,0,0,0,0,0,0,7,0,0,4,0,54,0
7,0,0,0,0,0,0,0,24,0,0,0,0,150,0
12,0,0,0,0,2,0,0,27,3,1,18,0,195,0
6,0,0,0,0,1,0,0,44,0,1,22,0,113,0
2,0,0,0,0,0,0,0,0,0,1,0,0,18,0
14,0,0,0,0,6,0,0,36,6,6,18,0,204,0
16,0,1,1,2,1,0,1,19,6,3,27,0,136,0
14,0,2,0,0,1,0,0,19,5,1,52,0,120,0
15,0,0,0,0,0,0,0,60,0,2,32,0,229,0
11,0,0,0,0,2,0,0,12,0,4,13,0,143,0
15,0,0,0,0,0,0,0,14,0,1,4,0,311,0
16,0,1,0,0,0,0,0,12,0,3,19,0,193,0
15,0,0,0,0,3,0,0,21,0,1,19,0,228,0
14,0,1,0,0,3,0,1,54,3,1,33,0,215,0
13,0,0,0,0,1,0,0,23,0,1,1,0,228,0
15,0,0,0,0,4,0,0,50,2,2,62,0,185,0
16,0,0,0,0,3,0,0,54,0,2,50,0,221,0
14,0,0,0,0,3,0,0,42,0,1,1,0,282,0
11,0,0,0,0,0,0,0,15,0,4,20,0,171,0
1,0,0,0,0,0,0,0,27,0,0,12,0,31,0
