races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
6,0,0,0,0,0,0,0,4,0,0,26,0,56,1
9,0,4,0,2,3,0,1,16,0,1,63,0,70,0
11,2,8,0,2,1,0,1,21,2,0,161,2,60,1
12,2,3,0,0,3,0,0,32,1,1,116,2,82,0
11,1,2,0,3,0,0,0,16,11,0,82,1,53,0
11,0,4,0,1,0,0,0,42,1,0,105,0,99,1
10,0,0,0,0,2,0,0,15,0,1,42,0,83,0
12,1,7,0,3,2,0,0,19,14,0,137,1,61,1
15,1,3,1,4,2,0,1,14,46,0,117,1,68,1
15,1,2,0,0,3,0,0,63,1,2,91,1,180,0
1,0,0,0,0,0,0,0,0,0,0,0,0,15,1
2,0,0,0,0,0,0,0,7,0,0,8,0,28,1
1,0,0,0,0,0,0,0,0,0,0,0,0,23,0
6,0,0,0,0,1,0,0,28,0,0,13,0,102,1
15,0,0,0,0,1,0,0,49,2,5,60,0,207,1
1,0,0,0,0,0,0,0,0,0,0,0,0,24,1
1,0,0,0,0,0,0,0,0,0,0,0,0,18,1
10,2,6,1,1,1,0,1,14,20,1,126,2,48,1
1,0,1,0,0,0,0,0,4,0,0,18,0,6,1
15,0,4,0,1,1,0,0,25,4,0,84,0,115,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10,1
16,0,1,0,0,3,0,0,11,0,4,59,0,126,0
17,0,5,0,0,3,0,2,36,7,5,95,0,159,0
16,0,8,0,1,3,0,2,28,6,2,173,0,87,0
16,4,9,0,3,2,0,0,36,3,0,237,4,86,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,10,0,0,0,0,24,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,1
14,0,1,0,0,1,0,0,34,7,5,54,0,166,1
14,0,0,0,0,5,0,0,46,0,1,88,0,158,1
15,1,1,0,0,1,0,0,59,0,3,93,1,193,1
13,0,0,1,1,1,0,0,7,0,2,12,0,104,1
16,0,4,1,4,1,0,0,17,8,0,145,0,90,1
15,1,3,1,1,3,0,1,25,4,0,135,1,98,1
5,1,1,0,0,0,0,0,25,0,0,41,1,71,1
10,0,3,0,1,1,0,0,40,3,0,68,0,94,0
12,5,8,3,4,2,1,2,15,9,0,176,3,46,0
15,3,8,1,4,2,0,1,30,22,1,175,3,82,1
15,3,7,2,2,3,1,2,31,9,0,182,1,76,1
13,2,6,0,2,4,1,2,28,6,0,146,2,85,1
15,0,0,0,0,3,0,0,48,8,2,26,0,260,0
14,0,0,0,0,2,0,0,72,1,0,47,0,240,1
14,0,1,0,0,1,0,0,80,0,1,27,0,279,0
2,0,0,0,0,0,0,0,19,0,1,0,0,49,1
1,0,0,0,0,1,0,0,0,0,0,0,0,16,0
4,0,0,0,0,1,0,0,19,2,0,6,0,67,0
3,0,0,0,0,1,0,0,18,0,1,1,0,59,1
1,0,0,0,0,0,0,0,3,0,0,1,0,13,0
1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
9,0,0,0,0,1,0,0,33,2,0,0,0,184,1
20,0,0,0,0,1,0,0,38,9,1,87,0,190,0
21,0,0,0,0,1,0,0,30,9,3,49,0,213,1
17,0,1,0,0,1,0,0,35,6,0,62,0,171,0
22,1,1,0,0,5,1,1,35,14,1,77,1,235,0
7,0,2,1,1,1,0,0,13,0,1,51,0,54,1
10,0,1,0,2,1,0,0,0,2,1,19,0,27,0
1,0,0,0,0,0,0,0,0,0,0,0,0,4,1
4,0,1,0,0,0,0,0,10,0,0,37,0,32,0
